"sample_size","Variables","Population_Parameter_Values","Sample_Statistic_Values","Absolute_Difference"
6154,"Mean Age:",19.508,19.508,0
6154,"Mean Weight:",162.157,160.895,1.262
6154,"Mean Height:",67.187,67.152,0.035
6154,"Mean Number of Classes:",3.481,3.464,0.017
6155,"Proportion Male:",0.435,0.418,0.017
6155,"Mean Age:",19.508,19.507,0.001
6155,"Mean Weight:",162.157,160.903,1.254
6155,"Mean Height:",67.187,67.153,0.034
6155,"Mean Number of Classes:",3.481,3.464,0.017
6156,"Proportion Male:",0.435,0.418,0.017
6156,"Mean Age:",19.508,19.507,0.001
6156,"Mean Weight:",162.157,160.905,1.252
6156,"Mean Height:",67.187,67.154,0.033
6156,"Mean Number of Classes:",3.481,3.464,0.017
6157,"Proportion Male:",0.435,0.418,0.017
6157,"Mean Age:",19.508,19.507,0.001
6157,"Mean Weight:",162.157,160.901,1.256
6157,"Mean Height:",67.187,67.153,0.034
6157,"Mean Number of Classes:",3.481,3.464,0.017
6158,"Proportion Male:",0.435,0.418,0.017
6158,"Mean Age:",19.508,19.507,0.001
6158,"Mean Weight:",162.157,160.896,1.261
6158,"Mean Height:",67.187,67.152,0.035
6158,"Mean Number of Classes:",3.481,3.464,0.017
6159,"Proportion Male:",0.435,0.418,0.017
6159,"Mean Age:",19.508,19.508,0
6159,"Mean Weight:",162.157,160.912,1.245
6159,"Mean Height:",67.187,67.152,0.035
6159,"Mean Number of Classes:",3.481,3.464,0.017
6160,"Proportion Male:",0.435,0.418,0.017
6160,"Mean Age:",19.508,19.507,0.001
6160,"Mean Weight:",162.157,160.918,1.239
6160,"Mean Height:",67.187,67.153,0.034
6160,"Mean Number of Classes:",3.481,3.464,0.017
6161,"Proportion Male:",0.435,0.418,0.017
6161,"Mean Age:",19.508,19.507,0.001
6161,"Mean Weight:",162.157,160.915,1.242
6161,"Mean Height:",67.187,67.153,0.034
6161,"Mean Number of Classes:",3.481,3.464,0.017
6162,"Proportion Male:",0.435,0.418,0.017
6162,"Mean Age:",19.508,19.507,0.001
6162,"Mean Weight:",162.157,160.915,1.242
6162,"Mean Height:",67.187,67.154,0.033
6162,"Mean Number of Classes:",3.481,3.464,0.017
6163,"Proportion Male:",0.435,0.417,0.018
6163,"Mean Age:",19.508,19.507,0.001
6163,"Mean Weight:",162.157,160.909,1.248
6163,"Mean Height:",67.187,67.153,0.034
6163,"Mean Number of Classes:",3.481,3.465,0.016
6164,"Proportion Male:",0.435,0.418,0.017
6164,"Mean Age:",19.508,19.507,0.001
6164,"Mean Weight:",162.157,160.92,1.237
6164,"Mean Height:",67.187,67.155,0.032
6164,"Mean Number of Classes:",3.481,3.464,0.017
6165,"Proportion Male:",0.435,0.418,0.017
6165,"Mean Age:",19.508,19.507,0.001
6165,"Mean Weight:",162.157,160.924,1.233
6165,"Mean Height:",67.187,67.155,0.032
6165,"Mean Number of Classes:",3.481,3.464,0.017
6166,"Proportion Male:",0.435,0.418,0.017
6166,"Mean Age:",19.508,19.507,0.001
6166,"Mean Weight:",162.157,160.925,1.232
6166,"Mean Height:",67.187,67.155,0.032
6166,"Mean Number of Classes:",3.481,3.464,0.017
6167,"Proportion Male:",0.435,0.418,0.017
6167,"Mean Age:",19.508,19.507,0.001
6167,"Mean Weight:",162.157,160.926,1.231
6167,"Mean Height:",67.187,67.155,0.032
6167,"Mean Number of Classes:",3.481,3.464,0.017
6168,"Proportion Male:",0.435,0.418,0.017
6168,"Mean Age:",19.508,19.506,0.002
6168,"Mean Weight:",162.157,160.921,1.236
6168,"Mean Height:",67.187,67.155,0.032
6168,"Mean Number of Classes:",3.481,3.464,0.017
6169,"Proportion Male:",0.435,0.418,0.017
6169,"Mean Age:",19.508,19.506,0.002
6169,"Mean Weight:",162.157,160.915,1.242
6169,"Mean Height:",67.187,67.155,0.032
6169,"Mean Number of Classes:",3.481,3.464,0.017
6170,"Proportion Male:",0.435,0.418,0.017
6170,"Mean Age:",19.508,19.507,0.001
6170,"Mean Weight:",162.157,160.907,1.25
6170,"Mean Height:",67.187,67.155,0.032
6170,"Mean Number of Classes:",3.481,3.465,0.016
6171,"Proportion Male:",0.435,0.418,0.017
6171,"Mean Age:",19.508,19.506,0.002
6171,"Mean Weight:",162.157,160.908,1.249
6171,"Mean Height:",67.187,67.154,0.033
6171,"Mean Number of Classes:",3.481,3.465,0.016
6172,"Proportion Male:",0.435,0.418,0.017
6172,"Mean Age:",19.508,19.506,0.002
6172,"Mean Weight:",162.157,160.907,1.25
6172,"Mean Height:",67.187,67.154,0.033
6172,"Mean Number of Classes:",3.481,3.465,0.016
6173,"Proportion Male:",0.435,0.418,0.017
6173,"Mean Age:",19.508,19.506,0.002
6173,"Mean Weight:",162.157,160.903,1.254
6173,"Mean Height:",67.187,67.155,0.032
6173,"Mean Number of Classes:",3.481,3.465,0.016
6174,"Proportion Male:",0.435,0.418,0.017
6174,"Mean Age:",19.508,19.506,0.002
6174,"Mean Weight:",162.157,160.897,1.26
6174,"Mean Height:",67.187,67.155,0.032
6174,"Mean Number of Classes:",3.481,3.465,0.016
6175,"Proportion Male:",0.435,0.418,0.017
6175,"Mean Age:",19.508,19.506,0.002
6175,"Mean Weight:",162.157,160.888,1.269
6175,"Mean Height:",67.187,67.155,0.032
6175,"Mean Number of Classes:",3.481,3.465,0.016
6176,"Proportion Male:",0.435,0.418,0.017
6176,"Mean Age:",19.508,19.506,0.002
6176,"Mean Weight:",162.157,160.88,1.277
6176,"Mean Height:",67.187,67.155,0.032
6176,"Mean Number of Classes:",3.481,3.465,0.016
6177,"Proportion Male:",0.435,0.418,0.017
6177,"Mean Age:",19.508,19.506,0.002
6177,"Mean Weight:",162.157,160.889,1.268
6177,"Mean Height:",67.187,67.155,0.032
6177,"Mean Number of Classes:",3.481,3.465,0.016
6178,"Proportion Male:",0.435,0.418,0.017
6178,"Mean Age:",19.508,19.506,0.002
6178,"Mean Weight:",162.157,160.884,1.273
6178,"Mean Height:",67.187,67.155,0.032
6178,"Mean Number of Classes:",3.481,3.466,0.015
6179,"Proportion Male:",0.435,0.418,0.017
6179,"Mean Age:",19.508,19.506,0.002
6179,"Mean Weight:",162.157,160.891,1.266
6179,"Mean Height:",67.187,67.155,0.032
6179,"Mean Number of Classes:",3.481,3.465,0.016
6180,"Proportion Male:",0.435,0.418,0.017
6180,"Mean Age:",19.508,19.506,0.002
6180,"Mean Weight:",162.157,160.896,1.261
6180,"Mean Height:",67.187,67.155,0.032
6180,"Mean Number of Classes:",3.481,3.466,0.015
6181,"Proportion Male:",0.435,0.418,0.017
6181,"Mean Age:",19.508,19.506,0.002
6181,"Mean Weight:",162.157,160.898,1.259
6181,"Mean Height:",67.187,67.155,0.032
6181,"Mean Number of Classes:",3.481,3.465,0.016
6182,"Proportion Male:",0.435,0.418,0.017
6182,"Mean Age:",19.508,19.506,0.002
6182,"Mean Weight:",162.157,160.906,1.251
6182,"Mean Height:",67.187,67.155,0.032
6182,"Mean Number of Classes:",3.481,3.465,0.016
6183,"Proportion Male:",0.435,0.418,0.017
6183,"Mean Age:",19.508,19.505,0.003
6183,"Mean Weight:",162.157,160.909,1.248
6183,"Mean Height:",67.187,67.156,0.031
6183,"Mean Number of Classes:",3.481,3.465,0.016
6184,"Proportion Male:",0.435,0.418,0.017
6184,"Mean Age:",19.508,19.505,0.003
6184,"Mean Weight:",162.157,160.904,1.253
6184,"Mean Height:",67.187,67.156,0.031
6184,"Mean Number of Classes:",3.481,3.465,0.016
6185,"Proportion Male:",0.435,0.418,0.017
6185,"Mean Age:",19.508,19.506,0.002
6185,"Mean Weight:",162.157,160.911,1.246
6185,"Mean Height:",67.187,67.155,0.032
6185,"Mean Number of Classes:",3.481,3.465,0.016
6186,"Proportion Male:",0.435,0.418,0.017
6186,"Mean Age:",19.508,19.506,0.002
6186,"Mean Weight:",162.157,160.908,1.249
6186,"Mean Height:",67.187,67.156,0.031
6186,"Mean Number of Classes:",3.481,3.465,0.016
6187,"Proportion Male:",0.435,0.417,0.018
6187,"Mean Age:",19.508,19.506,0.002
6187,"Mean Weight:",162.157,160.906,1.251
6187,"Mean Height:",67.187,67.155,0.032
6187,"Mean Number of Classes:",3.481,3.465,0.016
6188,"Proportion Male:",0.435,0.418,0.017
6188,"Mean Age:",19.508,19.506,0.002
6188,"Mean Weight:",162.157,160.908,1.249
6188,"Mean Height:",67.187,67.157,0.03
6188,"Mean Number of Classes:",3.481,3.465,0.016
6189,"Proportion Male:",0.435,0.418,0.017
6189,"Mean Age:",19.508,19.506,0.002
6189,"Mean Weight:",162.157,160.907,1.25
6189,"Mean Height:",67.187,67.157,0.03
6189,"Mean Number of Classes:",3.481,3.465,0.016
6190,"Proportion Male:",0.435,0.418,0.017
6190,"Mean Age:",19.508,19.506,0.002
6190,"Mean Weight:",162.157,160.911,1.246
6190,"Mean Height:",67.187,67.156,0.031
6190,"Mean Number of Classes:",3.481,3.465,0.016
6191,"Proportion Male:",0.435,0.418,0.017
6191,"Mean Age:",19.508,19.505,0.003
6191,"Mean Weight:",162.157,160.915,1.242
6191,"Mean Height:",67.187,67.158,0.029
6191,"Mean Number of Classes:",3.481,3.465,0.016
6192,"Proportion Male:",0.435,0.418,0.017
6192,"Mean Age:",19.508,19.505,0.003
6192,"Mean Weight:",162.157,160.909,1.248
6192,"Mean Height:",67.187,67.158,0.029
6192,"Mean Number of Classes:",3.481,3.465,0.016
6193,"Proportion Male:",0.435,0.418,0.017
6193,"Mean Age:",19.508,19.505,0.003
6193,"Mean Weight:",162.157,160.914,1.243
6193,"Mean Height:",67.187,67.158,0.029
6193,"Mean Number of Classes:",3.481,3.465,0.016
6194,"Proportion Male:",0.435,0.418,0.017
6194,"Mean Age:",19.508,19.505,0.003
6194,"Mean Weight:",162.157,160.915,1.242
6194,"Mean Height:",67.187,67.158,0.029
6194,"Mean Number of Classes:",3.481,3.465,0.016
6195,"Proportion Male:",0.435,0.418,0.017
6195,"Mean Age:",19.508,19.504,0.004
6195,"Mean Weight:",162.157,160.917,1.24
6195,"Mean Height:",67.187,67.159,0.028
6195,"Mean Number of Classes:",3.481,3.465,0.016
6196,"Proportion Male:",0.435,0.418,0.017
6196,"Mean Age:",19.508,19.504,0.004
6196,"Mean Weight:",162.157,160.912,1.245
6196,"Mean Height:",67.187,67.158,0.029
6196,"Mean Number of Classes:",3.481,3.464,0.017
6197,"Proportion Male:",0.435,0.418,0.017
6197,"Mean Age:",19.508,19.505,0.003
6197,"Mean Weight:",162.157,160.906,1.251
6197,"Mean Height:",67.187,67.158,0.029
6197,"Mean Number of Classes:",3.481,3.465,0.016
6198,"Proportion Male:",0.435,0.418,0.017
6198,"Mean Age:",19.508,19.505,0.003
6198,"Mean Weight:",162.157,160.906,1.251
6198,"Mean Height:",67.187,67.158,0.029
6198,"Mean Number of Classes:",3.481,3.465,0.016
6199,"Proportion Male:",0.435,0.418,0.017
6199,"Mean Age:",19.508,19.505,0.003
6199,"Mean Weight:",162.157,160.909,1.248
6199,"Mean Height:",67.187,67.158,0.029
6199,"Mean Number of Classes:",3.481,3.464,0.017
6200,"Proportion Male:",0.435,0.418,0.017
6200,"Mean Age:",19.508,19.505,0.003
6200,"Mean Weight:",162.157,160.907,1.25
6200,"Mean Height:",67.187,67.158,0.029
6200,"Mean Number of Classes:",3.481,3.464,0.017
6201,"Proportion Male:",0.435,0.418,0.017
6201,"Mean Age:",19.508,19.506,0.002
6201,"Mean Weight:",162.157,160.905,1.252
6201,"Mean Height:",67.187,67.157,0.03
6201,"Mean Number of Classes:",3.481,3.464,0.017
6202,"Proportion Male:",0.435,0.418,0.017
6202,"Mean Age:",19.508,19.505,0.003
6202,"Mean Weight:",162.157,160.904,1.253
6202,"Mean Height:",67.187,67.157,0.03
6202,"Mean Number of Classes:",3.481,3.464,0.017
6203,"Proportion Male:",0.435,0.418,0.017
6203,"Mean Age:",19.508,19.506,0.002
6203,"Mean Weight:",162.157,160.906,1.251
6203,"Mean Height:",67.187,67.157,0.03
6203,"Mean Number of Classes:",3.481,3.464,0.017
6204,"Proportion Male:",0.435,0.418,0.017
6204,"Mean Age:",19.508,19.506,0.002
6204,"Mean Weight:",162.157,160.917,1.24
6204,"Mean Height:",67.187,67.156,0.031
6204,"Mean Number of Classes:",3.481,3.464,0.017
6205,"Proportion Male:",0.435,0.418,0.017
6205,"Mean Age:",19.508,19.506,0.002
6205,"Mean Weight:",162.157,160.916,1.241
6205,"Mean Height:",67.187,67.156,0.031
6205,"Mean Number of Classes:",3.481,3.464,0.017
6206,"Proportion Male:",0.435,0.418,0.017
6206,"Mean Age:",19.508,19.506,0.002
6206,"Mean Weight:",162.157,160.914,1.243
6206,"Mean Height:",67.187,67.155,0.032
6206,"Mean Number of Classes:",3.481,3.464,0.017
6207,"Proportion Male:",0.435,0.418,0.017
6207,"Mean Age:",19.508,19.506,0.002
6207,"Mean Weight:",162.157,160.915,1.242
6207,"Mean Height:",67.187,67.155,0.032
6207,"Mean Number of Classes:",3.481,3.464,0.017
6208,"Proportion Male:",0.435,0.418,0.017
6208,"Mean Age:",19.508,19.506,0.002
6208,"Mean Weight:",162.157,160.909,1.248
6208,"Mean Height:",67.187,67.155,0.032
6208,"Mean Number of Classes:",3.481,3.464,0.017
6209,"Proportion Male:",0.435,0.418,0.017
6209,"Mean Age:",19.508,19.506,0.002
6209,"Mean Weight:",162.157,160.906,1.251
6209,"Mean Height:",67.187,67.155,0.032
6209,"Mean Number of Classes:",3.481,3.464,0.017
6210,"Proportion Male:",0.435,0.418,0.017
6210,"Mean Age:",19.508,19.506,0.002
6210,"Mean Weight:",162.157,160.899,1.258
6210,"Mean Height:",67.187,67.154,0.033
6210,"Mean Number of Classes:",3.481,3.463,0.018
6211,"Proportion Male:",0.435,0.418,0.017
6211,"Mean Age:",19.508,19.506,0.002
6211,"Mean Weight:",162.157,160.894,1.263
6211,"Mean Height:",67.187,67.155,0.032
6211,"Mean Number of Classes:",3.481,3.463,0.018
6212,"Proportion Male:",0.435,0.418,0.017
6212,"Mean Age:",19.508,19.506,0.002
6212,"Mean Weight:",162.157,160.897,1.26
6212,"Mean Height:",67.187,67.155,0.032
6212,"Mean Number of Classes:",3.481,3.463,0.018
6213,"Proportion Male:",0.435,0.418,0.017
6213,"Mean Age:",19.508,19.507,0.001
6213,"Mean Weight:",162.157,160.894,1.263
6213,"Mean Height:",67.187,67.155,0.032
6213,"Mean Number of Classes:",3.481,3.463,0.018
6214,"Proportion Male:",0.435,0.418,0.017
6214,"Mean Age:",19.508,19.507,0.001
6214,"Mean Weight:",162.157,160.888,1.269
6214,"Mean Height:",67.187,67.155,0.032
6214,"Mean Number of Classes:",3.481,3.464,0.017
6215,"Proportion Male:",0.435,0.418,0.017
6215,"Mean Age:",19.508,19.507,0.001
6215,"Mean Weight:",162.157,160.884,1.273
6215,"Mean Height:",67.187,67.155,0.032
6215,"Mean Number of Classes:",3.481,3.464,0.017
6216,"Proportion Male:",0.435,0.417,0.018
6216,"Mean Age:",19.508,19.507,0.001
6216,"Mean Weight:",162.157,160.881,1.276
6216,"Mean Height:",67.187,67.155,0.032
6216,"Mean Number of Classes:",3.481,3.464,0.017
6217,"Proportion Male:",0.435,0.418,0.017
6217,"Mean Age:",19.508,19.507,0.001
6217,"Mean Weight:",162.157,160.894,1.263
6217,"Mean Height:",67.187,67.156,0.031
6217,"Mean Number of Classes:",3.481,3.464,0.017
6218,"Proportion Male:",0.435,0.417,0.018
6218,"Mean Age:",19.508,19.507,0.001
6218,"Mean Weight:",162.157,160.898,1.259
6218,"Mean Height:",67.187,67.155,0.032
6218,"Mean Number of Classes:",3.481,3.464,0.017
6219,"Proportion Male:",0.435,0.417,0.018
6219,"Mean Age:",19.508,19.507,0.001
6219,"Mean Weight:",162.157,160.891,1.266
6219,"Mean Height:",67.187,67.154,0.033
6219,"Mean Number of Classes:",3.481,3.464,0.017
6220,"Proportion Male:",0.435,0.417,0.018
6220,"Mean Age:",19.508,19.507,0.001
6220,"Mean Weight:",162.157,160.894,1.263
6220,"Mean Height:",67.187,67.154,0.033
6220,"Mean Number of Classes:",3.481,3.464,0.017
6221,"Proportion Male:",0.435,0.417,0.018
6221,"Mean Age:",19.508,19.507,0.001
6221,"Mean Weight:",162.157,160.899,1.258
6221,"Mean Height:",67.187,67.154,0.033
6221,"Mean Number of Classes:",3.481,3.464,0.017
6222,"Proportion Male:",0.435,0.417,0.018
6222,"Mean Age:",19.508,19.507,0.001
6222,"Mean Weight:",162.157,160.899,1.258
6222,"Mean Height:",67.187,67.155,0.032
6222,"Mean Number of Classes:",3.481,3.464,0.017
6223,"Proportion Male:",0.435,0.417,0.018
6223,"Mean Age:",19.508,19.506,0.002
6223,"Mean Weight:",162.157,160.894,1.263
6223,"Mean Height:",67.187,67.154,0.033
6223,"Mean Number of Classes:",3.481,3.464,0.017
6224,"Proportion Male:",0.435,0.417,0.018
6224,"Mean Age:",19.508,19.506,0.002
6224,"Mean Weight:",162.157,160.898,1.259
6224,"Mean Height:",67.187,67.154,0.033
6224,"Mean Number of Classes:",3.481,3.465,0.016
6225,"Proportion Male:",0.435,0.417,0.018
6225,"Mean Age:",19.508,19.506,0.002
6225,"Mean Weight:",162.157,160.89,1.267
6225,"Mean Height:",67.187,67.152,0.035
6225,"Mean Number of Classes:",3.481,3.465,0.016
6226,"Proportion Male:",0.435,0.417,0.018
6226,"Mean Age:",19.508,19.506,0.002
6226,"Mean Weight:",162.157,160.891,1.266
6226,"Mean Height:",67.187,67.153,0.034
6226,"Mean Number of Classes:",3.481,3.465,0.016
6227,"Proportion Male:",0.435,0.417,0.018
6227,"Mean Age:",19.508,19.506,0.002
6227,"Mean Weight:",162.157,160.893,1.264
6227,"Mean Height:",67.187,67.154,0.033
6227,"Mean Number of Classes:",3.481,3.464,0.017
6228,"Proportion Male:",0.435,0.417,0.018
6228,"Mean Age:",19.508,19.505,0.003
6228,"Mean Weight:",162.157,160.893,1.264
6228,"Mean Height:",67.187,67.153,0.034
6228,"Mean Number of Classes:",3.481,3.465,0.016
6229,"Proportion Male:",0.435,0.417,0.018
6229,"Mean Age:",19.508,19.505,0.003
6229,"Mean Weight:",162.157,160.892,1.265
6229,"Mean Height:",67.187,67.154,0.033
6229,"Mean Number of Classes:",3.481,3.465,0.016
6230,"Proportion Male:",0.435,0.417,0.018
6230,"Mean Age:",19.508,19.505,0.003
6230,"Mean Weight:",162.157,160.9,1.257
6230,"Mean Height:",67.187,67.155,0.032
6230,"Mean Number of Classes:",3.481,3.466,0.015
6231,"Proportion Male:",0.435,0.417,0.018
6231,"Mean Age:",19.508,19.505,0.003
6231,"Mean Weight:",162.157,160.897,1.26
6231,"Mean Height:",67.187,67.155,0.032
6231,"Mean Number of Classes:",3.481,3.466,0.015
6232,"Proportion Male:",0.435,0.417,0.018
6232,"Mean Age:",19.508,19.505,0.003
6232,"Mean Weight:",162.157,160.887,1.27
6232,"Mean Height:",67.187,67.154,0.033
6232,"Mean Number of Classes:",3.481,3.466,0.015
6233,"Proportion Male:",0.435,0.417,0.018
6233,"Mean Age:",19.508,19.505,0.003
6233,"Mean Weight:",162.157,160.901,1.256
6233,"Mean Height:",67.187,67.153,0.034
6233,"Mean Number of Classes:",3.481,3.466,0.015
6234,"Proportion Male:",0.435,0.417,0.018
6234,"Mean Age:",19.508,19.505,0.003
6234,"Mean Weight:",162.157,160.9,1.257
6234,"Mean Height:",67.187,67.153,0.034
6234,"Mean Number of Classes:",3.481,3.466,0.015
6235,"Proportion Male:",0.435,0.417,0.018
6235,"Mean Age:",19.508,19.505,0.003
6235,"Mean Weight:",162.157,160.896,1.261
6235,"Mean Height:",67.187,67.151,0.036
6235,"Mean Number of Classes:",3.481,3.466,0.015
6236,"Proportion Male:",0.435,0.417,0.018
6236,"Mean Age:",19.508,19.505,0.003
6236,"Mean Weight:",162.157,160.887,1.27
6236,"Mean Height:",67.187,67.151,0.036
6236,"Mean Number of Classes:",3.481,3.466,0.015
6237,"Proportion Male:",0.435,0.417,0.018
6237,"Mean Age:",19.508,19.505,0.003
6237,"Mean Weight:",162.157,160.885,1.272
6237,"Mean Height:",67.187,67.151,0.036
6237,"Mean Number of Classes:",3.481,3.466,0.015
6238,"Proportion Male:",0.435,0.417,0.018
6238,"Mean Age:",19.508,19.505,0.003
6238,"Mean Weight:",162.157,160.886,1.271
6238,"Mean Height:",67.187,67.151,0.036
6238,"Mean Number of Classes:",3.481,3.466,0.015
6239,"Proportion Male:",0.435,0.417,0.018
6239,"Mean Age:",19.508,19.505,0.003
6239,"Mean Weight:",162.157,160.886,1.271
6239,"Mean Height:",67.187,67.151,0.036
6239,"Mean Number of Classes:",3.481,3.465,0.016
6240,"Proportion Male:",0.435,0.417,0.018
6240,"Mean Age:",19.508,19.505,0.003
6240,"Mean Weight:",162.157,160.886,1.271
6240,"Mean Height:",67.187,67.152,0.035
6240,"Mean Number of Classes:",3.481,3.466,0.015
6241,"Proportion Male:",0.435,0.417,0.018
6241,"Mean Age:",19.508,19.506,0.002
6241,"Mean Weight:",162.157,160.883,1.274
6241,"Mean Height:",67.187,67.152,0.035
6241,"Mean Number of Classes:",3.481,3.466,0.015
6242,"Proportion Male:",0.435,0.417,0.018
6242,"Mean Age:",19.508,19.506,0.002
6242,"Mean Weight:",162.157,160.88,1.277
6242,"Mean Height:",67.187,67.152,0.035
6242,"Mean Number of Classes:",3.481,3.466,0.015
6243,"Proportion Male:",0.435,0.417,0.018
6243,"Mean Age:",19.508,19.506,0.002
6243,"Mean Weight:",162.157,160.873,1.284
6243,"Mean Height:",67.187,67.153,0.034
6243,"Mean Number of Classes:",3.481,3.466,0.015
6244,"Proportion Male:",0.435,0.417,0.018
6244,"Mean Age:",19.508,19.506,0.002
6244,"Mean Weight:",162.157,160.87,1.287
6244,"Mean Height:",67.187,67.153,0.034
6244,"Mean Number of Classes:",3.481,3.466,0.015
6245,"Proportion Male:",0.435,0.417,0.018
6245,"Mean Age:",19.508,19.506,0.002
6245,"Mean Weight:",162.157,160.882,1.275
6245,"Mean Height:",67.187,67.154,0.033
6245,"Mean Number of Classes:",3.481,3.466,0.015
6246,"Proportion Male:",0.435,0.417,0.018
6246,"Mean Age:",19.508,19.506,0.002
6246,"Mean Weight:",162.157,160.887,1.27
6246,"Mean Height:",67.187,67.154,0.033
6246,"Mean Number of Classes:",3.481,3.466,0.015
6247,"Proportion Male:",0.435,0.417,0.018
6247,"Mean Age:",19.508,19.506,0.002
6247,"Mean Weight:",162.157,160.889,1.268
6247,"Mean Height:",67.187,67.153,0.034
6247,"Mean Number of Classes:",3.481,3.466,0.015
6248,"Proportion Male:",0.435,0.417,0.018
6248,"Mean Age:",19.508,19.506,0.002
6248,"Mean Weight:",162.157,160.889,1.268
6248,"Mean Height:",67.187,67.154,0.033
6248,"Mean Number of Classes:",3.481,3.466,0.015
6249,"Proportion Male:",0.435,0.417,0.018
6249,"Mean Age:",19.508,19.506,0.002
6249,"Mean Weight:",162.157,160.886,1.271
6249,"Mean Height:",67.187,67.154,0.033
6249,"Mean Number of Classes:",3.481,3.466,0.015
6250,"Proportion Male:",0.435,0.417,0.018
6250,"Mean Age:",19.508,19.506,0.002
6250,"Mean Weight:",162.157,160.876,1.281
6250,"Mean Height:",67.187,67.154,0.033
6250,"Mean Number of Classes:",3.481,3.466,0.015
6251,"Proportion Male:",0.435,0.418,0.017
6251,"Mean Age:",19.508,19.506,0.002
6251,"Mean Weight:",162.157,160.875,1.282
6251,"Mean Height:",67.187,67.155,0.032
6251,"Mean Number of Classes:",3.481,3.466,0.015
6252,"Proportion Male:",0.435,0.418,0.017
6252,"Mean Age:",19.508,19.506,0.002
6252,"Mean Weight:",162.157,160.884,1.273
6252,"Mean Height:",67.187,67.155,0.032
6252,"Mean Number of Classes:",3.481,3.466,0.015
6253,"Proportion Male:",0.435,0.418,0.017
6253,"Mean Age:",19.508,19.506,0.002
6253,"Mean Weight:",162.157,160.882,1.275
6253,"Mean Height:",67.187,67.155,0.032
6253,"Mean Number of Classes:",3.481,3.466,0.015
